Episode,Reward
0,-51.2371
1,-26.489
2,323.842
3,-69.17
4,-86.2224
5,-86.7641
6,308.138
7,-79.39
8,-78.5361
9,328.661
10,-75.2036
11,-93.1319
12,20.0261
13,-27.5531
14,-29.4683
15,2.46382
16,0.9607
17,0.737969
18,0.671208
19,2.11139
20,1.54523
21,-0.649829
22,1.05509
23,0.647718
24,2.47807
25,0.605708
26,2.50604
27,0.831938
28,0.909785
29,-0.129775
30,1.87012
31,0.978711
32,1.25726
33,0.926645
34,2.89484
35,0.728264
36,1.06354
37,0.868409
38,1.27805
39,2.21291
40,2.06409
41,2.27419
42,1.48002
43,1.73494
44,1.89311
45,-8.97033
46,-7.1275
47,-5.91753
48,-2.69682
49,-6.61419
50,-13.1272
51,-12.4353
52,-9.70975
53,-6.87754
54,2.16609
55,1.38544
56,3.24534
57,-0.257328
58,1.89964
59,2.05727
60,2.10276
61,0.583197
62,2.1346
63,1.64487
64,-0.128952
65,0.973125
66,1.80448
67,1.30335
68,20.7452
69,1.48348
70,-0.938668
71,1.44997
72,1.67582
73,-0.191272
74,1.73569
75,1.74283
76,1.87613
77,-1.16399
78,0.794268
79,-0.610829
80,2.4556
81,1.32343
82,0.971842
83,1.32577
84,2.55061
85,0.94508
86,1.55152
87,2.22072
88,2.13594
89,1.37514
90,1.72717
91,1.67179
92,2.07682
93,1.4273
94,0.713277
95,1.62332
96,0.296602
97,1.28657
98,1.22733
99,0.525669
100,1.81285
101,1.89714
102,1.67943
103,2.51317
104,0.778314
105,1.47908
106,-7.65144
107,-8.13376
108,-8.36124
109,-10.425
110,-7.74001
111,-9.82026
112,-9.6148
113,-7.72718
114,1.74312
115,0.807252
116,2.26311
117,1.25032
118,1.33805
119,-0.700294
120,1.52228
121,1.0755
122,-0.17569
123,2.11795
124,2.71046
125,1.04017
126,0.543479
127,1.28103
128,-9.82896
129,-7.76709
130,-9.65862
131,-10.9002
132,-9.37529
133,-8.7345
134,1.24623
135,1.76747
136,3.54587
137,3.11592
138,1.06734
139,0.511489
140,2.54466
141,2.4423
142,-2.91162
143,-1.09543
144,0.883026
145,-0.247734
146,0.64757
147,1.13281
148,1.26567
149,-0.0235321
150,1.0573
151,0.247268
152,1.09213
153,2.11186
154,0.108438
155,-1.29805
156,2.72289
157,0.731257
158,1.82929
159,1.31399
160,-0.22018
161,1.13041
162,1.78818
163,2.50048
164,0.0211325
165,3.46659
166,-0.0688972
167,2.38212
168,2.06791
169,1.32719
170,-0.124604
171,3.05367
172,1.67372
173,2.05383
174,0.0442835
175,2.39414
176,2.1653
177,2.85984
178,2.04875
179,2.30698
180,2.97682
181,1.24897
182,0.849623
183,0.264397
184,2.2411
185,0.875048
186,1.61966
187,0.925192
188,0.75364
189,1.54281
190,1.63678
191,1.58947
192,0.0451033
193,1.38599
194,1.90195
195,1.48674
196,1.4807
197,1.40214
198,-1.24881
199,1.49468
200,1.76026
201,0.99854
202,1.00095
203,2.67734
204,2.17434
205,1.99194
206,1.74143
207,3.58784
208,0.973295
209,1.00257
210,-0.291221
211,1.43698
212,1.45808
213,1.59098
214,1.37468
215,1.0804
216,2.0439
217,2.35834
218,2.16278
219,1.99817
220,2.30965
221,1.89843
222,2.21015
