Episode,Reward
0,-23.24
1,-21.22
2,-13.14
3,-21.22
4,-18.19
5,-22.23
6,-23.24
7,-96.1394
8,-96.5269
9,-96.6567
10,-96.4836
11,-96.2304
12,-96.5578
13,-96.1704
14,-96.1544
15,-96.448
16,-96.3922
17,-95.3006
18,-95.979
19,-96.5057
20,-96.304
21,-96.5719
22,-95.5061
23,-95.6572
24,-95.9859
25,-95.1871
26,-96.6093
27,-15.16
28,-95.7902
29,-95.6905
30,-96.066
31,-96.4816
32,-96.1476
33,-95.9503
34,-96.1726
35,-96.111
36,-95.8312
37,-95.4113
38,-96.1738
39,-95.8244
40,-96.3628
41,-96.3752
42,-13.14
43,-16.17
44,-17.18
45,-96.164
46,-95.8641
47,-96.3912
48,-95.4765
49,-96.3079
50,-96.2142
51,-96.0852
52,-96.3885
53,-95.9295
54,-12.13
55,-17.18
56,-18.19
57,-15.16
58,-23.24
59,-21.22
60,-96.3413
61,-21.22
62,-19.2
63,-24.25
64,-23.24
65,-18.19
66,-31.32
67,-17.18
68,-15.16
69,-20.21
70,-23.24
71,-21.22
72,-15.16
73,-22.23
74,-23.24
75,-17.18
76,-18.19
77,-26.27
78,-20.21
79,-23.24
80,-13.14
81,-19.2
82,-18.19
83,-18.19
84,-22.23
85,-20.21
86,-17.18
87,-12.13
88,-15.16
89,-21.22
90,-19.2
91,-96.8551
92,-20.21
93,-20.21
94,-23.24
95,-18.19
96,-16.17
97,-28.29
98,-14.15
99,-25.26
100,-16.17
101,-14.15
102,-19.2
103,-96.7076
104,-96.2433
105,-95.7131
106,-96.5613
107,-96.9867
108,-96.5038
109,-96.9076
110,-95.8987
111,-96.2635
112,-95.8634
113,-19.2
114,-13.14
115,-95.9248
116,-96.3862
117,-95.547
118,-95.8945
119,-95.7664
120,-96.0461
121,-95.7885
122,-95.9228
123,-96.6822
124,-17.18
125,-18.19
126,-27.28
127,-17.18
128,-15.16
129,-16.17
130,-16.17
131,-21.22
132,-15.16
133,-24.25
134,-17.18
135,-23.24
136,-21.22
137,-22.23
138,-18.19
139,-14.15
140,-17.18
141,-18.19
142,-21.22
143,-18.19
144,-16.17
145,-18.19
146,-14.15
147,-26.27
148,-20.21
149,-15.16
150,-17.18
151,-18.19
152,-16.17
153,-20.21
154,-16.17
155,-21.22
156,-16.17
157,-20.21
158,-17.18
159,-19.2
160,-12.13
161,-15.16
162,-22.23
163,-22.23
164,-17.18
165,-11.12
166,-18.19
167,-16.17
168,-27.28
169,-23.24
170,-18.19
171,-16.17
172,-19.2
173,-20.21
174,-18.19
175,-19.2
176,-23.24
177,-17.18
178,-15.16
179,-24.25
180,-25.26
181,-23.24
182,-16.17
183,-15.16
184,-18.19
185,-14.15
186,-21.22
187,-24.25
188,-25.26
189,-28.29
190,-21.22
191,-14.15
192,-18.19
193,-25.26
194,-20.21
195,-28.29
196,-19.2
197,-13.14
198,-19.2
199,-14.15
200,-19.2
201,-23.24
202,-18.19
203,-17.18
204,-13.14
205,-21.22
206,-15.16
207,-16.17
208,-13.14
209,-17.18
210,-20.21
211,-18.19
212,-15.16
213,-22.23
214,-20.21
215,-96.219
216,-96.6195
217,-96.0026
218,-95.8028
219,-95.7942
220,-96.2754
221,-18.19
222,-96.8206
223,-95.8222
224,-96.7707
225,-26.27
226,-96.2196
227,-25.26
228,-96.3506
229,-96.1902
230,-95.8369
231,-95.5011
