Episode,Reward
0,-20.21
1,-22.23
2,-25.26
3,-12.13
4,-16.17
5,-22.23
6,-26.27
7,-23.24
8,-96.3632
9,-95.2626
10,-96.2425
11,-95.9077
12,-95.4045
13,-95.4582
14,-96.2851
15,-95.832
16,-95.085
17,-96.4069
18,-96.341
19,-96.8301
20,-95.9516
21,-95.2563
22,-96.1759
23,-96.0067
24,-96.1412
25,-96.0032
26,-96.1552
27,-96.1676
28,-96.1318
29,-96.4915
30,-96.8473
31,-95.9706
32,-96.5187
33,-95.9187
34,-96.2295
35,-96.085
36,-96.4045
37,-96.4817
38,-95.9441
39,-96.1963
40,-22.23
41,-96.1407
42,-95.9001
43,-95.9802
44,-96.1449
45,-95.4635
46,-96.8883
47,-95.8067
48,-96.3996
49,-96.4599
50,-95.9317
51,-96.5715
52,-96.0733
53,-96.5993
54,-96.5765
55,-95.7703
56,-95.6724
57,-96.6786
58,-96.3694
59,-95.4893
60,-96.5279
61,-96.3214
62,-95.6958
63,-96.1152
64,-95.8186
65,-96.4886
66,-96.2106
67,-95.9946
68,-95.4637
69,-96.7667
70,-96.1454
71,-96.2467
72,-95.6252
73,-96.4325
74,-95.7318
75,-96.3417
76,-95.8998
77,-96.5916
78,-96.5295
79,-95.844
80,-96.1572
81,-95.8098
82,-96.0586
83,-96.3764
84,-96.5508
85,-96.6508
86,-96.4488
87,-96.281
88,-96.0551
89,-95.6511
90,-96.4922
91,-95.5915
92,-96.1029
93,-96.5138
94,-96.7328
95,-95.4243
96,-96.2491
97,-95.9442
98,-96.2648
99,-96.238
100,-95.9952
101,-96.526
102,-96.0126
103,-95.4028
104,-96.5994
105,-95.8489
106,-97.1621
107,-17.18
108,-16.17
109,-14.15
110,-16.17
111,-21.22
112,-18.19
113,-25.26
114,-20.21
115,-20.21
116,-20.21
117,-18.19
118,-20.21
119,-27.28
120,-19.2
121,-33.34
122,-18.19
123,-17.18
124,-18.19
125,-17.18
126,-21.22
127,-17.18
128,-24.25
129,-24.25
130,-12.13
131,-20.21
132,-14.15
133,-17.18
134,-13.14
135,-19.2
136,-19.2
137,-22.23
138,-17.18
139,-19.2
140,-20.21
141,-21.22
142,-20.21
143,-96.2413
144,-96.2296
145,-96.477
146,-96.437
147,-96.0361
148,-95.8618
149,-96.7308
150,-96.0125
151,-96.1718
152,-96.2016
153,-22.23
154,-22.23
155,-12.13
156,-22.23
157,-21.22
158,-20.21
159,-18.19
160,-24.25
161,-14.15
162,-21.22
